time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-03-07T01:47:25.440Z,-38.8031,175.05,254.28,4.2,mb,,57,0.327,0.63,us,usc000twbg,2015-03-07T03:06:51.738Z,"70km E of Waitara, New Zealand",earthquake
2015-03-07T01:46:31.740Z,38.7900009,-122.7441635,0.46,0.7,md,10,74,0.008911,0.03,nc,nc72406660,2015-03-07T03:09:03.815Z,"1km NE of The Geysers, California",earthquake
2015-03-07T01:38:12.890Z,38.7905006,-122.7631683,3.46,0.98,md,10,85,0.01953,0.01,nc,nc72406650,2015-03-07T03:43:03.780Z,"1km NNW of The Geysers, California",earthquake
2015-03-07T01:38:01.150Z,38.7900009,-122.7626648,2.74,1.9,md,42,39,0.0194,0.03,nc,nc72406645,2015-03-07T03:20:02.584Z,"1km NNW of The Geysers, California",earthquake
2015-03-07T00:58:34.380Z,-3.0004,129.2789,36.31,4.7,mb,,43,2.967,0.63,us,usc000twb8,2015-03-07T01:49:42.906Z,"54km NE of Amahai, Indonesia",earthquake
2015-03-07T00:55:39.700Z,19.3403,-155.4183,8.5,2.3,Md,,57.6,0.03593261,0.2,hv,hv60867111,2015-03-07T00:59:00.199Z,"16km NNE of Pahala, Hawaii",earthquake
2015-03-07T00:55:26.780Z,38.7574997,-122.7391663,2.05,1.44,md,19,92,0.00635,0.04,nc,nc72406640,2015-03-07T02:53:02.018Z,"2km SE of The Geysers, California",earthquake
2015-03-07T00:52:13.040Z,33.6128333,-116.82,10.65,0.61,ml,20,82,0.02883,0.32,ci,ci37111823,2015-03-07T00:56:06.812Z,"15km WNW of Anza, California",earthquake
2015-03-07T00:39:54.852Z,41.8602,-119.6332,9.0935,2.37,ml,5,123.1,0.153,0.1788,nn,nn00486067,2015-03-07T01:26:42.640Z,"70km ESE of Lakeview, Oregon",earthquake
2015-03-07T00:31:48.649Z,41.8624,-119.6346,7.8046,0.99,ml,5,222.85,0.151,0.0921,nn,nn00486072,2015-03-07T01:09:44.103Z,"69km ESE of Lakeview, Oregon",earthquake
2015-03-07T00:20:58.850Z,36.4415016,-121.0179977,5.14,1.7,md,15,120,0.0168,0.06,nc,nc72406610,2015-03-07T00:22:43.360Z,"24km ENE of Greenfield, California",earthquake
2015-03-07T00:10:20.000Z,64.9888,-147.3248,5.6,1.4,ml,,,,0.35,ak,ak11523665,2015-03-07T00:56:03.972Z,"23km NNE of Badger, Alaska",earthquake
2015-03-07T00:09:25.560Z,38.791832,-122.7633362,1.88,0.77,md,11,78,0.01926,0.04,nc,nc72406605,2015-03-07T01:13:04.211Z,"1km NNW of The Geysers, California",earthquake
2015-03-07T00:08:46.120Z,38.7921677,-122.762001,1.78,0.56,md,9,85,0.02028,0.02,nc,nc72406600,2015-03-07T01:24:01.655Z,"1km NNW of The Geysers, California",earthquake
2015-03-07T00:06:47.450Z,46.2803333,-122.209,5.16,0.26,md,11,129,0.00804,0.13,uw,uw60980856,2015-03-07T00:39:46.890Z,"31km S of Morton, Washington",earthquake
2015-03-06T23:56:17.240Z,33.4828333,-116.513,13.91,1.08,ml,31,91,0.07548,0.17,ci,ci37111759,2015-03-07T00:28:31.660Z,"17km ESE of Anza, California",earthquake
2015-03-06T23:55:09.940Z,38.8223343,-122.8251648,2.47,0.69,md,13,57,0.007746,0.02,nc,nc72406595,2015-03-07T00:50:03.601Z,"7km NW of The Geysers, California",earthquake
2015-03-06T23:51:57.000Z,59.7312,-152.162,52.6,1.5,ml,,,,0.47,ak,ak11523663,2015-03-07T00:56:04.880Z,"19km WSW of Anchor Point, Alaska",earthquake
2015-03-06T23:40:28.020Z,35.1081667,-118.8048333,1.1,1.26,ml,14,88,0.02789,0.2,ci,ci37111743,2015-03-07T00:28:30.537Z,"11km S of Arvin, California",earthquake
2015-03-06T23:39:14.880Z,38.8093338,-122.8121643,3.46,0.43,md,9,107,0.01324,0.02,nc,nc72406585,2015-03-07T00:14:02.892Z,"6km NW of The Geysers, California",earthquake
2015-03-06T23:38:46.190Z,38.8096657,-122.8126678,3.54,0.69,md,11,96,0.01292,0.02,nc,nc72406580,2015-03-07T00:03:05.223Z,"6km NW of The Geysers, California",earthquake
2015-03-06T23:31:41.610Z,34.365,-118.8255,6.03,1.46,ml,6,183,0.1759,0.36,ci,ci37111727,2015-03-06T23:35:52.660Z,"6km SSW of Piru, California",earthquake
2015-03-06T23:29:37.810Z,33.7648333,-116.6276667,5.08,0.74,ml,10,118,0.1977,0.34,ci,ci37111719,2015-03-06T23:33:34.024Z,"9km ENE of Idyllwild, California",earthquake
2015-03-06T23:27:25.000Z,59.0428,-152.9585,84.7,2.9,ml,,,,0.78,ak,ak11523658,2015-03-07T00:56:31.636Z,"103km SW of Anchor Point, Alaska",earthquake
2015-03-06T23:13:42.000Z,60.0969,-141.1311,0,2.1,ml,,,,0.7,ak,ak11523654,2015-03-07T00:55:57.599Z,"72km E of Cape Yakataga, Alaska",earthquake
2015-03-06T22:55:27.000Z,63.277,-146.5269,0.1,2.5,ml,,,,0.67,ak,ak11523647,2015-03-07T00:56:49.744Z,"92km SW of Deltana, Alaska",earthquake
2015-03-06T22:53:00.760Z,14.524,-93.3415,60.01,4.3,mb,,142,1.594,0.66,us,usc000twai,2015-03-07T02:14:04.832Z,"101km WSW of Puerto Madero, Mexico",earthquake
2015-03-06T22:50:30.550Z,38.7835007,-122.7440033,2.02,0.37,md,8,118,0.005695,0.04,nc,nc72406560,2015-03-06T23:28:02.263Z,"1km ENE of The Geysers, California",earthquake
2015-03-06T22:46:21.000Z,61.71,-150.8043,58.3,1.3,ml,,,,0.31,ak,ak11523644,2015-03-07T00:55:58.844Z,"40km W of Willow, Alaska",earthquake
2015-03-06T22:43:30.000Z,63.2876,-146.5173,0,2.4,ml,,,,0.6,ak,ak11523640,2015-03-07T00:55:58.280Z,"91km SW of Deltana, Alaska",earthquake
2015-03-06T22:39:18.300Z,38.7888336,-122.7623367,2.15,0.56,md,12,81,0.01828,0.01,nc,nc72406555,2015-03-06T23:14:02.630Z,"1km NNW of The Geysers, California",earthquake
2015-03-06T22:36:12.690Z,35.132,-118.8248333,2.86,1.46,ml,17,92,0.006668,0.34,ci,ci37111663,2015-03-06T22:40:03.692Z,"9km S of Arvin, California",earthquake
2015-03-06T22:06:52.000Z,60.46,-151.5007,67.3,1.7,ml,,,,0.53,ak,ak11523637,2015-03-06T23:34:30.346Z,"12km WNW of Kalifornsky, Alaska",earthquake
2015-03-06T22:04:54.000Z,18.8215,-64.3489,32,2.2,Md,3,331.2,0.4761071,0.28,pr,pr15065006,2015-03-06T23:58:05.252Z,"52km NNE of Road Town, British Virgin Islands",earthquake
2015-03-06T22:00:12.190Z,38.8211667,-122.8026667,0.33,0.13,md,18,35,0.006199,0.05,nc,nc72406535,2015-03-07T02:00:03.676Z,"6km W of Cobb, California",earthquake
2015-03-06T21:56:39.000Z,59.487,-152.8357,98.3,2,ml,,,,0.29,ak,ak11523595,2015-03-06T23:34:31.550Z,"65km WSW of Anchor Point, Alaska",earthquake
2015-03-06T21:41:58.000Z,65.1468,-148.9773,0,0.9,ml,,,,0.21,ak,ak11523593,2015-03-06T23:34:30.935Z,"56km NW of Ester, Alaska",earthquake
2015-03-06T21:19:05.300Z,38.8366661,-122.8028336,2.62,1.01,md,23,35,0.009908,0.02,nc,nc72406525,2015-03-06T21:33:07.513Z,"7km WNW of Cobb, California",earthquake
2015-03-06T21:17:01.000Z,59.587,-152.9542,106.8,2.6,ml,,,,0.54,ak,ak11523585,2015-03-06T23:34:59.005Z,"66km WSW of Anchor Point, Alaska",earthquake
2015-03-06T21:10:18.810Z,33.475,-116.5691667,9.16,1.15,ml,33,53,0.03388,0.23,ci,ci37111591,2015-03-07T00:29:42.640Z,"13km SE of Anza, California",earthquake
2015-03-06T21:07:33.000Z,61.3637,-147.4133,15.2,1.8,ml,,,,0.91,ak,ak11523581,2015-03-06T23:34:32.234Z,"62km WNW of Valdez, Alaska",earthquake
2015-03-06T21:06:49.550Z,46.0813333,-122.11,13.43,0.35,md,8,215,0.05687,0.11,uw,uw60980711,2015-03-07T00:42:04.973Z,"32km NE of Amboy, Washington",earthquake
2015-03-06T21:03:20.150Z,33.5113333,-116.4651667,10.31,0.69,ml,15,135,0.07172,0.17,ci,ci37111583,2015-03-07T00:29:20.947Z,"20km ESE of Anza, California",earthquake
2015-03-06T20:37:28.000Z,58.8925,-154.3393,131.6,2.6,ml,,,,0.46,ak,ak11523577,2015-03-07T04:40:11.702Z,"101km SSE of Old Iliamna, Alaska",earthquake
2015-03-06T20:15:08.380Z,43.7236667,-123.1043333,0.01,1.49,ml,7,110,0.1792,0.28,uw,uw60980696,2015-03-07T00:43:29.010Z,"8km SSW of Cottage Grove, Oregon",explosion
2015-03-06T20:06:48.730Z,33.8373333,-117.4988333,0.01,1.46,ml,39,69,0.04901,0.44,ci,ci37111535,2015-03-06T20:10:56.539Z,"5km SSE of Home Gardens, California",quarry blast
2015-03-06T20:05:59.530Z,33.8363333,-117.5006667,0.01,1.37,ml,36,70,0.05002,0.28,ci,ci37111527,2015-03-06T20:10:07.001Z,"5km SSE of Home Gardens, California",quarry blast
2015-03-06T19:38:15.120Z,33.5885,-116.8201667,11.55,0.45,ml,9,165,0.04738,0.2,ci,ci37111511,2015-03-07T00:29:17.527Z,"14km WNW of Anza, California",earthquake
2015-03-06T19:36:28.190Z,38.7868347,-122.7503357,1.5,0.57,md,8,70,0.01123,0.04,nc,nc72406495,2015-03-06T19:38:03.690Z,"1km NNE of The Geysers, California",earthquake
2015-03-06T19:35:30.670Z,38.8236656,-122.7981644,3.28,1.02,md,19,67,0.009307,0.03,nc,nc72406490,2015-03-06T19:37:09.880Z,"6km W of Cobb, California",earthquake
2015-03-06T19:32:16.320Z,33.7061667,-116.722,19.95,1.04,ml,28,49,0.008216,0.1,ci,ci37111495,2015-03-07T01:08:05.074Z,"4km S of Idyllwild, California",earthquake
2015-03-06T19:28:45.870Z,37.5473333,-118.8595,7.13,0.36,md,9,208,0.04899,0.06,nc,nc72406485,2015-03-06T22:33:05.761Z,"15km SE of Mammoth Lakes, California",earthquake
2015-03-06T19:12:17.210Z,34.3431667,-116.8576667,0.01,1.19,ml,12,88,0.02546,0.18,ci,ci37111471,2015-03-07T00:35:15.748Z,"9km N of Big Bear City, California",quarry blast
2015-03-06T19:01:14.800Z,42.1958333,-121.3561667,0.01,2.4,ml,17,174,0.2642,0.26,uw,uw60980641,2015-03-06T19:55:15.730Z,"28km NNE of Tulelake, California",explosion
2015-03-06T19:00:47.680Z,38.8289986,-122.8551636,2.64,1,md,18,60,0.0152,0.03,nc,nc72406470,2015-03-06T19:02:25.610Z,"10km NW of The Geysers, California",earthquake
2015-03-06T18:54:26.000Z,64.4222,-147.4271,19.5,1,ml,,,,0.27,ak,ak11523565,2015-03-06T20:30:13.299Z,"27km WSW of Salcha, Alaska",earthquake
2015-03-06T18:49:48.160Z,35.0491667,-118.3505,0.01,1.76,ml,6,125,0.05889,0.04,ci,ci37111455,2015-03-07T00:33:23.390Z,"13km SE of Tehachapi, California",quarry blast
2015-03-06T18:44:11.450Z,38.8065,-122.789,4.02,0.25,md,25,52,0.005138,0.04,nc,nc72406465,2015-03-07T02:35:02.868Z,"4km NW of The Geysers, California",earthquake
2015-03-06T18:38:30.000Z,59.5317,-152.5679,71.7,1.4,ml,,,,0.25,ak,ak11523526,2015-03-06T22:05:47.716Z,"49km WSW of Anchor Point, Alaska",earthquake
2015-03-06T18:38:06.000Z,63.111,-149.2643,70.8,2.2,ml,,,,0.58,ak,ak11523522,2015-03-06T20:30:11.669Z,"35km SSW of Cantwell, Alaska",earthquake
2015-03-06T18:38:01.870Z,38.7655,-122.7196667,2.44,0.45,md,16,72,0.007983,0.09,nc,nc72406460,2015-03-07T04:34:44.700Z,"3km ESE of The Geysers, California",earthquake
2015-03-06T18:13:45.190Z,-7.1561,105.2248,47.86,4.5,mb,,127,2.599,1.41,us,usc000tvms,2015-03-07T02:16:27.327Z,"58km SW of Tugu Hilir, Indonesia",earthquake
2015-03-06T18:09:52.350Z,-8.4757,-75.6319,45.63,4.8,mb,,100,3.687,0.75,us,usc000tvmm,2015-03-06T21:49:18.972Z,"90km W of Campoverde, Peru",earthquake
2015-03-06T17:56:11.710Z,38.8233337,-122.7959976,3.57,0.46,md,11,94,0.011,0.03,nc,nc72406440,2015-03-06T17:57:49.600Z,"6km W of Cobb, California",earthquake
2015-03-06T17:55:33.000Z,51.935,179.5884,4.5,1.8,ml,,,,0.08,ak,ak11523516,2015-03-06T22:05:46.383Z,"2km SSW of Semisopochnoi Island, Alaska",earthquake
2015-03-06T17:47:14.220Z,33.4893333,-116.5465,15.17,1.09,ml,28,81,0.04685,0.2,ci,ci37111423,2015-03-07T00:29:51.510Z,"14km ESE of Anza, California",earthquake
2015-03-06T17:29:47.870Z,38.7508316,-122.7193298,1.21,1.67,md,22,61,0.01979,0.08,nc,nc72406425,2015-03-06T22:45:06.442Z,"4km SE of The Geysers, California",earthquake
2015-03-06T17:12:29.080Z,38.841835,-122.8303299,2.57,0.56,md,13,66,0.00517,0.01,nc,nc72406420,2015-03-06T17:14:04.800Z,"9km WNW of Cobb, California",earthquake
2015-03-06T17:12:14.960Z,38.841835,-122.8296661,2.71,0.18,md,8,95,0.005583,0.01,nc,nc72406415,2015-03-06T17:13:49.460Z,"9km WNW of Cobb, California",earthquake
2015-03-06T17:01:43.460Z,33.8483333,-116.536,11.4,1.24,ml,39,54,0.02708,0.26,ci,ci37111391,2015-03-06T17:08:13.597Z,"3km N of Palm Springs, California",earthquake
2015-03-06T16:55:23.260Z,38.8066673,-122.7919998,1.35,0.54,md,8,114,0.002889,0.01,nc,nc72406410,2015-03-06T16:56:59.510Z,"4km NW of The Geysers, California",earthquake
2015-03-06T16:49:34.000Z,61.7351,-149.6006,48.2,1.2,ml,,,,0.48,ak,ak11523509,2015-03-06T19:00:21.210Z,"12km N of Meadow Lakes, Alaska",earthquake
2015-03-06T16:41:06.260Z,38.753,-122.723,1.55,0.17,md,18,70,0.01518,0.09,nc,nc72406400,2015-03-07T04:31:05.235Z,"3km SE of The Geysers, California",earthquake
2015-03-06T16:29:24.900Z,39.1908333,-123.1865,8.69,1.36,md,8,219,0.0902,0.06,nc,nc72406390,2015-03-06T22:17:03.058Z,"4km NNE of Ukiah, California",earthquake
2015-03-06T16:18:31.740Z,15.9995,146.1102,93.96,4.5,mb,,78,0.512,0.79,us,usc000tvk1,2015-03-07T00:20:57.547Z,"61km SE of Anatahan, Northern Mariana Islands",earthquake
2015-03-06T16:14:26.780Z,39.7105,-110.9248333,-3.42,1.91,ml,18,93,0.133,0.14,uu,uu60103677,2015-03-06T16:44:37.540Z,"6km WNW of Helper, Utah",earthquake
2015-03-06T16:11:23.560Z,38.7351667,-122.723,2.45,0.66,md,13,255,0.01053,0.14,nc,nc72406385,2015-03-07T03:24:03.500Z,"5km SSE of The Geysers, California",earthquake
2015-03-06T16:11:15.080Z,38.7545013,-122.7259979,2.46,1.09,md,11,105,0.0146,0.01,nc,nc72406380,2015-03-06T18:35:03.114Z,"3km SE of The Geysers, California",earthquake
2015-03-06T16:11:07.290Z,38.7550011,-122.7258301,2.27,1.45,md,10,153,0.0148,0.02,nc,nc72406375,2015-03-06T19:16:05.202Z,"3km SE of The Geysers, California",earthquake
2015-03-06T15:51:14.890Z,34.0255,-116.8611667,22.4,2.76,ml,96,25,0.04537,0.16,ci,ci37111319,2015-03-07T00:26:57.530Z,"11km N of Banning, California",earthquake
2015-03-06T15:47:41.000Z,59.2577,-153.1568,79.9,2.2,ml,,,,0.9,ak,ak11523473,2015-03-06T17:32:48.624Z,"94km SW of Anchor Point, Alaska",earthquake
2015-03-06T15:28:34.800Z,35.5588333,-120.8023333,4.59,1.37,md,49,55,0.08867,0.08,nc,nc72406355,2015-03-06T21:53:01.690Z,"8km W of Templeton, California",earthquake
2015-03-06T15:27:56.840Z,38.8105,-122.9201667,7.32,0.81,md,30,87,0.01817,0.05,nc,nc72406350,2015-03-07T04:43:03.972Z,"8km E of Cloverdale, California",earthquake
2015-03-06T15:08:16.410Z,48.491,-123.5823333,19.52,0.94,md,5,216,0.182,0.08,uw,uw60980406,2015-03-06T16:25:12.897Z,"7km NW of Langford, Canada",earthquake
2015-03-06T15:01:19.250Z,38.1348343,-122.0705032,4.83,1.59,md,7,139,0.4567,0.14,nc,nc72406335,2015-03-06T18:00:05.690Z,"11km SSW of Suisun, California",earthquake
2015-03-06T15:00:20.430Z,33.1638333,-116.5401667,14.29,0.92,ml,27,61,0.09564,0.15,ci,ci37111255,2015-03-07T00:02:20.579Z,"11km NNE of Julian, California",earthquake
2015-03-06T14:29:10.420Z,38.8371658,-122.7816696,1.11,0.53,md,11,122,0.01136,0.01,nc,nc72406330,2015-03-06T17:31:03.597Z,"5km WNW of Cobb, California",earthquake
2015-03-06T14:27:39.000Z,62.2437,-151.3554,85.2,1.7,ml,,,,0.38,ak,ak11523466,2015-03-06T16:13:07.331Z,"65km W of Talkeetna, Alaska",earthquake
2015-03-06T14:22:59.500Z,19.3178,-155.1377,6.8,1.3,Md,,108,0.03593261,0.11,hv,hv60866806,2015-03-06T20:43:37.723Z,"16km SE of Volcano, Hawaii",earthquake
2015-03-06T14:22:59.500Z,19.3208,-155.1418,3.7,1.4,Md,,104.4,0.03593261,0.14,hv,hv60866716,2015-03-06T21:42:13.057Z,"15km SE of Volcano, Hawaii",earthquake
2015-03-06T14:08:56.830Z,38.8240013,-122.8416672,1.33,0.43,md,7,147,0.005259,0.01,nc,nc72406320,2015-03-06T17:06:05.029Z,"9km NW of The Geysers, California",earthquake
2015-03-06T14:08:20.734Z,39.5567,-120.4036,3.0124,0.38,ml,7,203.61,0.149,0.1028,nn,nn00486041,2015-03-06T21:36:53.228Z,"28km SSE of Portola, California",earthquake
2015-03-06T13:58:40.165Z,40.2176,-119.8485,10.118,0.23,ml,5,249.35,0.101,0.1139,nn,nn00486036,2015-03-06T21:09:10.483Z,"56km SW of Gerlach-Empire, Nevada",earthquake
2015-03-06T13:48:13.250Z,37.946,-111.8893333,14.62,1.38,ml,15,86,0.19,0.13,uu,uu60103667,2015-03-06T16:32:47.310Z,"31km NW of Escalante, Utah",earthquake
2015-03-06T13:46:18.410Z,38.8378334,-122.8281631,2.91,1.83,md,35,49,0.005769,0.04,nc,nc72406315,2015-03-06T16:33:09.574Z,"9km W of Cobb, California",earthquake
2015-03-06T13:23:02.447Z,38.432,-118.7432,4.6959,1.15,ml,7,119.43,0.031,0.192,nn,nn00485995,2015-03-06T17:23:58.568Z,"14km SW of Hawthorne, Nevada",earthquake
2015-03-06T13:20:51.000Z,61.6046,-150.6335,19.2,1.1,ml,,,,1.21,ak,ak11523437,2015-03-06T14:54:55.258Z,"35km WSW of Willow, Alaska",earthquake
2015-03-06T13:11:02.340Z,33.4771667,-116.5525,13.99,1.25,ml,41,81,0.04507,0.22,ci,ci37111103,2015-03-06T17:12:53.280Z,"14km SE of Anza, California",earthquake
2015-03-06T13:02:18.775Z,41.9027,-119.6348,11.3493,1.6,ml,5,128.48,0.129,0.0965,nn,nn00485991,2015-03-06T16:41:18.480Z,"72km SE of Lakeview, Oregon",earthquake
2015-03-06T12:59:31.000Z,60.6034,-142.995,6.4,1.2,ml,,,,0.42,ak,ak11523435,2015-03-06T14:54:59.921Z,"67km NNW of Cape Yakataga, Alaska",earthquake
2015-03-06T12:52:39.500Z,18.7504,-65.4046,63,2.3,Md,3,298.8,0.45544585,0.09,pr,pr15065005,2015-03-06T15:58:05.146Z,"50km NNW of Culebra, Puerto Rico",earthquake
2015-03-06T12:50:17.000Z,59.592,-152.3542,65.8,2.6,ml,,,,0.5,ak,ak11523430,2015-03-06T20:52:47.903Z,"35km SW of Anchor Point, Alaska",earthquake
2015-03-06T12:48:12.000Z,60.2793,-152.3622,112,2,ml,,,,0.44,ak,ak11523428,2015-03-06T13:39:00.798Z,"31km SE of Redoubt Volcano, Alaska",earthquake
2015-03-06T12:35:48.710Z,36.1683333,-121.61,11.87,2.34,md,41,146,0.03034,0.09,nc,nc72406300,2015-03-06T23:12:05.334Z,"37km WSW of Greenfield, California",earthquake
2015-03-06T12:31:58.280Z,32.9273333,-116.2218333,13.09,2.29,ml,55,51,0.1723,0.24,ci,ci37111079,2015-03-06T23:28:06.230Z,"25km SSW of Ocotillo Wells, California",earthquake
2015-03-06T12:30:14.530Z,36.4588333,-117.4678333,1.1,1.61,ml,14,102,0.24,0.15,ci,ci37111071,2015-03-06T17:08:23.785Z,"33km WSW of Stovepipe Wells, California",earthquake
2015-03-06T12:08:38.827Z,41.9,-119.6322,9.9268,1.66,ml,5,216.73,0.132,0.1853,nn,nn00485994,2015-03-06T13:24:20.678Z,"67km ESE of Lakeview, Oregon",earthquake
2015-03-06T12:06:56.010Z,41.882,-119.6232,8.9104,2.54,ml,5,219.92,0.146,0.1728,nn,nn00485993,2015-03-06T20:09:27.765Z,"69km ESE of Lakeview, Oregon",earthquake
2015-03-06T11:55:21.100Z,19.1355,-65.247,34,2.8,Md,3,327.6,0.8228568,0.14,pr,pr15065004,2015-03-06T19:57:49.586Z,"92km N of Culebra, Puerto Rico",earthquake
2015-03-06T11:54:17.430Z,38.8303337,-122.8093338,2.55,0.85,md,12,105,0.006953,0.02,nc,nc72406280,2015-03-06T12:39:04.022Z,"7km W of Cobb, California",earthquake
2015-03-06T11:41:52.630Z,38.825,-122.831,2.8,1.82,md,56,25,0.003667,0.03,nc,nc72406275,2015-03-06T20:31:03.597Z,"8km NW of The Geysers, California",earthquake
2015-03-06T11:33:24.150Z,38.7773333,-122.4486667,8.34,1.66,md,38,89,0.02841,0.11,nc,nc72406270,2015-03-07T04:18:02.563Z,"10km ESE of Hidden Valley Lake, California",earthquake
2015-03-06T11:32:49.400Z,19.6945,-155.9712,10.5,1.6,Md,,226.8,0.06288207,0.19,hv,hv60866761,2015-03-06T16:13:41.261Z,"3km SSE of Kalaoa, Hawaii",earthquake
2015-03-06T11:31:29.340Z,38.831665,-122.80867,2.55,0.43,md,10,109,0.00833,0.01,nc,nc72406265,2015-03-06T14:25:04.704Z,"7km W of Cobb, California",earthquake
2015-03-06T11:28:06.870Z,38.8318329,-122.8050003,2.1,0.43,md,6,111,0.009311,0.01,nc,nc72406260,2015-03-06T14:00:07.372Z,"7km W of Cobb, California",earthquake
2015-03-06T10:55:34.000Z,19.093,-65.4681,25,2.7,Md,5,288,0.7995006,0.05,pr,pr15065003,2015-03-06T18:58:12.553Z,"83km NNE of Vieques, Puerto Rico",earthquake
2015-03-06T10:53:22.500Z,19.0713,-65.5586,30,2.9,Md,4,313.2,0.80309386,0.25,pr,pr15065002,2015-03-06T18:56:16.874Z,"77km NNE of Vieques, Puerto Rico",earthquake
2015-03-06T10:39:52.430Z,-44.0265,-78.2473,10,5,mb,,141,3.453,1.13,us,usc000tvi4,2015-03-06T18:34:24.111Z,"Off the coast of Aisen, Chile",earthquake
2015-03-06T10:22:32.900Z,19.6787,-155.98,13.5,3.7,Ml,,147.6,0.04491576,0.15,hv,hv60866736,2015-03-07T04:13:18.303Z,"4km NNE of Kailua-Kona, Hawaii",earthquake
2015-03-06T10:21:17.480Z,38.8253326,-122.8516693,1.73,0.43,md,6,153,0.01318,0.06,nc,nc72406250,2015-03-06T10:52:02.039Z,"9km WNW of The Geysers, California",earthquake
2015-03-06T09:59:19.720Z,38.7854996,-122.7893295,4.56,0.53,md,6,183,0.0111,0.01,nc,nc72406240,2015-03-06T12:08:03.234Z,"3km WNW of The Geysers, California",earthquake
2015-03-06T09:56:56.000Z,62.9305,-151.0152,114.7,1.4,ml,,,,0.7,ak,ak11523363,2015-03-06T10:53:16.996Z,"82km NW of Talkeetna, Alaska",earthquake
2015-03-06T09:39:58.000Z,61.7801,-148.5995,30.9,1.6,ml,,,,0.77,ak,ak11523336,2015-03-06T10:53:18.297Z,"13km E of Sutton-Alpine, Alaska",earthquake
2015-03-06T09:27:41.430Z,38.788166,-122.7823334,3.13,0.83,md,19,80,0.006641,0.02,nc,nc72406230,2015-03-06T09:43:02.867Z,"2km WNW of The Geysers, California",earthquake
2015-03-06T09:06:47.000Z,38.7718315,-122.4514999,6.97,1.88,md,20,81,0.03402,0.15,nc,nc72406225,2015-03-06T12:07:05.948Z,"10km ESE of Hidden Valley Lake, California",earthquake
2015-03-06T08:59:20.000Z,60.1385,-141.1175,0.4,1.6,ml,,,,0.69,ak,ak11523330,2015-03-06T10:53:17.649Z,"73km E of Cape Yakataga, Alaska",earthquake
2015-03-06T08:59:16.000Z,36.6125,-97.6717,4.9,3.1,mb_lg,,50,0.273,0.44,us,usc000tvhh,2015-03-06T17:04:41.874Z,"22km SSE of Medford, Oklahoma",earthquake
2015-03-06T08:59:05.210Z,33.4845,-116.759,9.76,0.85,ml,32,41,0.0772,0.24,ci,ci37111047,2015-03-06T17:12:59.920Z,"11km ENE of Aguanga, California",earthquake
2015-03-06T08:55:25.660Z,38.7869987,-122.7638321,1.86,0.56,md,13,88,0.01632,0.02,nc,nc72406220,2015-03-06T11:41:02.670Z,"1km NNW of The Geysers, California",earthquake
